document_ID,female_coauthorship
aa01-057,0
aa01-062,0
aa01-063,0
aa01-065,1
aa01-067,0
ad05-001,0
ad05-005,0
ad05-006,1
ad05-009,1
ad05-013,0
ad05-031,0
ad05-047,0
ad05-072,0
ao07-011,0
ao07-012,0
ao07-020,0
ao07-028,0
ao07-045,1
ao07-056,0
ar05-001,0
ar05-005,0
ar05-011,1
ar07-001,0
ar07-022,0
aw42-003,0
aw42-004,0
aw42-005,0
aw42-006,0
aw42-007,0
aw42-009,1
ax04-001,0
ax04-004,0
ax04-007,1
ax04-008,0
az02-001,0
az02-002,0
az02-006,0
az02-011,0
az02-012,0
ef06-022,0
ef06-024,0
ef06-025,0
ef06-038,1
ef06-043,0
ep04-001,1
ep04-004,0
ep04-014,0
ep04-018,1
ep04-020,0
ep04-021,0
ep04-022,0
ep04-023,0
es10-000,0
es10-003,0
es10-006,0
es10-010,0
es10-020,1
es10-025,1
fa16-002,1
fa16-003,0
fa16-008,0
fa16-010,1
fa16-011,1
fa16-025,1
fe12-006,0
fe12-019,0
fe12-027,1
fe12-039,0
fe12-043,0
fe12-045,0
fe12-051,0
fe12-058,1
ff57-001,0
ff57-002,0
ff57-003,0
ff57-018,0
ff57-019,1
ff57-021,1
ff57-031,0
fk07-001,1
fk07-008,0
fk07-012,1
fk07-016,0
fk07-022,0
fk07-025,0
fk07-026,1
fk07-027,0
fk07-029,1
fk07-030,1
fk07-031,0
fl12-001,0
fl12-004,0
fl12-006,0
fl12-007,0
fl12-009,0
fl12-018,0
fl12-020,0
fo04-001,0
fo04-002,0
fo04-003,0
fo04-004,0
fo07-000,1
fo07-003,0
fo07-006,0
fo07-008,0
fo07-016,0
fo07-020,0
fo07-023,0
fo07-026,0
fo07-028,0
fo07-029,0
fo07-034,0
fo07-042,0
fo07-056,1
fo07-057,0
fo07-058,0
fo07-060,0
fo07-064,0
fo07-068,0
fo07-070,0
fo07-071,0
fo07-072,1
fq05-002,1
fq05-003,1
fq05-006,0
fq05-007,1
fq05-009,1
fq05-011,0
fq05-012,0
fq09-002,0
fq09-005,0
fq09-008,0
fq09-009,0
fq09-010,0
fq09-011,0
ma11-002,0
ma11-007,0
ma11-008,0
ma11-012,0
mo04-010,0
mo04-018,0
mo04-021,0
mo04-027,0
mo04-033,0
mp05-000,0
mp05-011,0
mp05-013,0
mp05-014,0
mp05-019,0
mp05-020,0
ms12-003,1
ms12-016,0
ms12-021,0
ms12-024,0
ms14-001,0
ms14-003,0
ms14-006,0
ms14-007,0
ms14-011,0
ms14-012,0
ms30-000,0
ms30-048,0
mt09-001,0
mt09-002,1
mt09-010,1
mt09-017,0
mw11-002,0
mw11-005,0
na12-018,0
na12-020,1
na12-022,1
na12-025,1
na12-031,1
na12-032,0
na12-033,0
na12-036,0
nd08-001,0
nd08-034,0
nf06-004,0
nf06-005,0
nf06-006,0
nf06-008,0
nf06-009,0
nf06-010,0
nf06-011,1
nf06-012,1
nf06-016,1
nf06-054,0
nf06-059,0
nf06-060,0
nf06-061,0
ng06-001,0
ng06-005,1
ng06-019,0
ng06-020,0
ng06-022,0
ng06-027,1
ng06-028,1
ng06-039,0
ng06-041,0
ng06-048,1
ng06-050,1
ng06-054,0
ng06-060,0
ng06-061,0
ng06-075,1
nm09-032,0
nm09-046,0
nm09-056,0
nm09-059,1
nm09-060,0
nq18-002,0
nq18-005,0
nq18-014,1
nq18-015,0
nq18-019,1
nq18-020,0
nr10-001,0
nr10-003,0
nt09-002,0
nt09-003,0
nt09-036,0
nt09-048,0
nt09-049,0
nt09-052,1
nt09-056,0
nt09-061,1
nt09-067,1
nu33-001,0
nu33-010,0
nu33-013,0
nu33-016,0
nv09-001,1
nv09-005,0
nv09-007,1
oa19-010,0
oa19-022,0
oc06-001,0
oc06-002,0
oc06-015,0
oc06-018,0
oc06-022,1
oc06-023,0
oc06-027,0
oc06-028,1
oc06-029,0
oc06-032,0
oc06-034,1
oc06-035,0
og11-001,0
og11-002,0
og11-003,0
og11-004,0
oi08-002,0
oj29-005,0
oj29-006,0
oj29-007,0
ol06-001,0
ol06-002,0
ol06-005,0
ol06-018,0
ol06-024,0
ol06-029,1
ol06-037,0
ol06-045,0
ol06-047,0
ol06-048,0
oq06-001,0
oq06-002,1
oq06-003,1
or19-001,0
or19-002,0
or19-022,0
or19-025,0
or19-026,0
or19-030,0
or19-035,1
or19-036,0
or19-040,0
ot11-001,0
ot11-019,0
ot11-025,0
rv02-035,0
ry02-016,0
sb05-005,0
sb05-012,0
sb05-014,1
sb05-036,0
sb05-039,0
sb05-040,0
sb05-042,1
sc07-004,0
sc07-005,0
sc07-010,0
sf05-001,0
sf05-002,0
sf05-010,0
sf05-012,1
sh04-001,0
sh04-002,0
si07-001,0
si07-002,0
si07-005,0
si07-006,0
si07-009,0
sm04-005,0
sm04-007,1
sm04-008,1
sm04-009,0
sp08-002,0
sp08-004,0
sp08-005,0
sp08-009,0
sq18-000,0
sq18-002,0
sq18-010,0
sq18-011,0
sq19-005,0
sq19-013,0
sq19-018,1
sr15-006,1
eh01-011,0
eh01-090,0
eh01-016,0
eh01-029,1
eh01-042,0
eh01-044,0
eh01-047,0
eh01-051,0
eh01-058,0
eh01-059,0
eh01-069,1
eh01-078,1
eh01-080,0
eh01-081,0
eh01-089,1
ef06-015,1
nd07-041,0
nd07-027,0
nd07-013,0
nd07-006,0
nd07-057,0
nn08-031,1
nm09-029,0
nm09-065,1
nm09-008,0
nm09-066,1
nn16-039,0
ne11-001,0
ne11-022,1
nr17-001,0
na12-009,1
na12-019,0
nf04-024,0
nf04-025,0
nf06-027,0
nf06-065,0
nq10-008,0
nq10-001,0
nq10-028,0
nt09-011,0
nt09-012,0
nt09-007,0
nt09-050,0
nt25-046,0
nt13-181,0
nt13-189,0
nt13-185,0
nt13-302,1
nt13-279,0
nt13-224,0
nt21-058,0
nt21-001,1
fo32-002,1
ms22-008,1
mp05-017,0
fl10-023,1
fl10-004,0
mp17-004,0
fn17-016,1
fj23-030,0
mx03-005,0
ms25-007,0
ms25-009,1
fp13-003,0
fp13-012,1
fx10-039,0
fe12-032,1
fa08-008,1
fa18-002,0
ff26-006,0
ff26-003,1
ff26-016,1
ff26-012,0
fc07-002,0
ms20-008,0
fe11-011,0
ff57-033,0
ms30-043,1
ms30-051,1
ms30-007,1
ri03-005,0
rq02-020,0
ab06-013,1
aa01-022,0
ab43-001,0
ry02-001,0
rx02-002,0
aw19-008,0
aw19-003,0
of05-001,1
of07-027,1
ap04-034,0
am04-187,1
am04-183,1
am04-192,1
ao07-043,0
ao07-004,0
ao07-008,0
ao07-061,1
oc06-021,0
oc06-020,0
oc06-026,0
oa19-009,0
oa19-019,0
oe05-038,1
an05-195,0
an05-194,0
an05-196,0
an05-197,0
am11-173,0
am11-179,0
am11-183,0
ep04-019,0
eg01-010,1
ex08-019,0
sv03-001,0
sv03-011,1
sb05-003,0
md04-003,0
mb01-017,1
mb01-007,0
nd08-035,0
nd08-013,0
nd08-037,0
nh06-019,0
nd12-001,0
ng06-046,0
nj05-010,0
ne09-011,1
ne09-008,1
no06-039,0
nq13-002,1
nr10-006,0
nq18-003,0
nq18-017,0
nt08-001,0
nt14-004,1
nr13-007,1
nt23-015,0
oi08-007,0
oi20-001,0
oj13-001,0
om06-008,1
om06-010,1
on19-001,0
ol06-032,0
ol06-025,1
or15-003,0
or15-002,0
or15-001,1
or22-012,0
oz04-004,0
ox06-001,0
ou08-005,0
ou08-003,1
ou08-021,0
ot11-028,0
sd09-034,0
sr15-002,0
sq19-011,1
ss18-009,0
sf05-011,0
sg04-012,0
so08-005,0
so08-001,0
sd06-004,0
sh06-001,1
fo58-001,0
fk13-003,1
fk13-001,1
fn31-006,0
fn04-004,0
fn04-003,1
fl08-026,0
fl08-025,0
fl08-010,1
fl08-005,1
fl08-001,0
fl11-001,1
fl11-023,0
fl11-022,0
fj22-015,1
fj22-001,0
fj22-008,0
fj22-018,1
fj22-017,0
fl17-009,1
mt09-013,1
mt09-015,0
fs05-020,1
fs05-002,0
fs05-019,0
fs05-013,0
fs05-008,0
fq12-015,1
fq12-014,0
fq12-002,0
fx20-019,0
fd06-005,0
fd06-031,0
fd06-011,1
ff52-001,0
ff62-016,0
ff62-047,0
au04-004,0
au04-021,0
au04-003,0
ak06-001,0
ak06-011,1
aj01-012,0
ae09-004,0
ad05-037,1
ad05-045,0
ad05-051,0
ad05-003,1
aw69-016,0
aw69-009,0
aw69-003,0
aw69-007,0
aw11-025,1
aw11-029,1
aw16-001,0
aw16-051,1
oc13-006,0
an06-017,0
sa12-002,1
sa12-001,1
sa12-009,0
sa12-004,1
nu44-031,1
nu44-003,1
nu44-032,1
nu44-011,0
nw08-002,0
nv10-019,0
nv10-015,1
oo12-004,1
oj27-017,0
oj27-011,0
oj27-001,0
or21-042,0
or21-028,0
ov05-014,1
ou09-128,0
ou09-113,1
ou09-130,0
ou09-107,1
ou09-126,0
ou09-086,0
ou09-111,0
se26-018,0
so11-005,1
so11-011,0
so11-009,1
sp22-016,0
sc07-008,0
eq02-022,0
eq02-020,0
eq02-018,0
eq01-009,0
eq01-001,0
eh01-017,0